Date,Bulb,Octopus,OVO,Good Energy,People's Energy
2016-04-17,0,2,63,67,0
2016-04-24,0,2,63,31,0
2016-05-01,0,2,54,31,0
2016-05-08,0,3,46,56,0
2016-05-15,4,2,65,45,0
2016-05-22,0,1,62,45,0
2016-05-29,0,2,57,82,99
2016-06-05,0,2,50,43,0
2016-06-12,1,0,40,55,0
2016-06-19,0,1,62,69,0
2016-06-26,0,3,52,26,0
2016-07-03,0,2,50,32,0
2016-07-10,0,3,39,42,0
2016-07-17,0,2,68,40,0
2016-07-24,2,1,44,41,0
2016-07-31,2,2,54,28,0
2016-08-07,2,1,52,29,0
2016-08-14,0,3,49,28,0
2016-08-21,2,3,40,47,0
2016-08-28,1,3,32,33,0
2016-09-04,3,3,59,74,0
2016-09-11,1,1,50,78,0
2016-09-18,1,5,56,84,0
2016-09-25,1,2,50,45,0
2016-10-02,1,2,53,64,0
2016-10-09,0,3,72,64,0
2016-10-16,1,3,48,77,0
2016-10-23,4,3,67,70,0
2016-10-30,6,3,57,19,0
2016-11-06,7,5,75,66,0
2016-11-13,4,6,64,54,0
2016-11-20,3,6,69,67,0
2016-11-27,4,4,53,36,0
2016-12-04,3,2,53,51,0
2016-12-11,0,2,41,41,0
2016-12-18,3,3,49,27,0
2016-12-25,3,2,64,66,0
2017-01-01,4,4,64,70,0
2017-01-08,5,5,61,52,0
2017-01-15,1,5,69,58,0
2017-01-22,1,7,68,51,0
2017-01-29,5,10,51,46,0
2017-02-05,4,9,71,88,0
2017-02-12,1,15,69,57,0
2017-02-19,4,13,77,78,88
2017-02-26,3,8,59,85,0
2017-03-05,6,11,62,90,0
2017-03-12,5,7,73,81,0
2017-03-19,3,11,45,54,0
2017-03-26,8,8,51,61,0
2017-04-02,3,6,66,43,0
2017-04-09,1,7,54,24,0
2017-04-16,15,5,50,68,0
2017-04-23,5,7,42,23,0
2017-04-30,8,8,56,76,0
2017-05-07,8,4,38,48,0
2017-05-14,8,3,46,31,0
2017-05-21,8,5,42,62,0
2017-05-28,4,5,52,47,0
2017-06-04,7,3,45,44,0
2017-06-11,6,4,33,43,0
2017-06-18,6,5,43,43,0
2017-06-25,11,5,52,37,0
2017-07-02,14,1,35,74,0
2017-07-09,8,6,36,37,98
2017-07-16,12,3,54,30,0
2017-07-23,38,7,62,54,0
2017-07-30,31,5,61,72,0
2017-08-06,33,6,59,49,0
