Date,Trend,Brand,Total Search Volume,Estimated Weekly Search Volume
2016-05-08,0,Bulb,"372,223",0
2016-05-15,0,Bulb,"372,223",0
2016-05-22,0,Bulb,"372,223",0
2016-05-29,0,Bulb,"372,223",0
2016-06-05,0,Bulb,"372,223",0
2016-06-12,0,Bulb,"372,223",0
2016-06-19,0,Bulb,"372,223",0
2016-06-26,0,Bulb,"372,223",0
2016-07-03,1,Bulb,"372,223",3722
2016-07-10,1,Bulb,"372,223",3722
2016-07-17,0,Bulb,"372,223",0
2016-07-24,1,Bulb,"372,223",3722
2016-07-31,1,Bulb,"372,223",3722
2016-08-07,1,Bulb,"372,223",3722
2016-08-14,0,Bulb,"372,223",0
2016-08-21,1,Bulb,"372,223",3722
2016-08-28,2,Bulb,"372,223",7444
2016-09-04,0,Bulb,"372,223",0
2016-09-11,1,Bulb,"372,223",3722
2016-09-18,0,Bulb,"372,223",0
2016-09-25,0,Bulb,"372,223",0
2016-10-02,1,Bulb,"372,223",3722
2016-10-09,1,Bulb,"372,223",3722
2016-10-16,0,Bulb,"372,223",0
2016-10-23,1,Bulb,"372,223",3722
2016-10-30,0,Bulb,"372,223",0
2016-11-06,2,Bulb,"372,223",7444
2016-11-13,1,Bulb,"372,223",3722
2016-11-20,1,Bulb,"372,223",3722
2016-11-27,1,Bulb,"372,223",3722
2016-12-04,1,Bulb,"372,223",3722
2016-12-11,1,Bulb,"372,223",3722
2016-12-18,0,Bulb,"372,223",0
2016-12-25,2,Bulb,"372,223",7444
2017-01-01,3,Bulb,"372,223",11167
2017-01-08,2,Bulb,"372,223",7444
2017-01-15,1,Bulb,"372,223",3722
2017-01-22,1,Bulb,"372,223",3722
2017-01-29,0,Bulb,"372,223",0
2017-02-05,1,Bulb,"372,223",3722
2017-02-12,1,Bulb,"372,223",3722
2017-02-19,1,Bulb,"372,223",3722
2017-02-26,0,Bulb,"372,223",0
2017-03-05,2,Bulb,"372,223",7444
2017-03-12,1,Bulb,"372,223",3722
2017-03-19,0,Bulb,"372,223",0
2017-03-26,1,Bulb,"372,223",3722
2017-04-02,2,Bulb,"372,223",7444
2017-04-09,2,Bulb,"372,223",7444
2017-04-16,2,Bulb,"372,223",7444
2017-04-23,2,Bulb,"372,223",7444
2017-04-30,4,Bulb,"372,223",14889
2017-05-07,0,Bulb,"372,223",0
2017-05-14,3,Bulb,"372,223",11167
2017-05-21,4,Bulb,"372,223",14889
2017-05-28,2,Bulb,"372,223",7444
2017-06-04,2,Bulb,"372,223",7444
2017-06-11,0,Bulb,"372,223",0
2017-06-18,2,Bulb,"372,223",7444
2017-06-25,6,Bulb,"372,223",22333
2017-07-02,6,Bulb,"372,223",22333
2017-07-09,3,Bulb,"372,223",11167
2017-07-16,3,Bulb,"372,223",11167
2017-07-23,16,Bulb,"372,223",59556
2017-07-30,12,Bulb,"372,223",44667
2017-08-06,7,Bulb,"372,223",26056
2017-08-13,13,Bulb,"372,223",48389
2017-08-20,11,Bulb,"372,223",40944
2017-08-27,5,Bulb,"372,223",18611
2017-09-03,9,Bulb,"372,223",33500
2017-09-10,3,Bulb,"372,223",11167
2017-09-17,4,Bulb,"372,223",14889
2017-09-24,4,Bulb,"372,223",14889
2017-10-01,5,Bulb,"372,223",18611
2017-10-08,5,Bulb,"372,223",18611
2017-10-15,9,Bulb,"372,223",33500
2017-10-22,10,Bulb,"372,223",37222
2017-10-29,11,Bulb,"372,223",40944
2017-11-05,25,Bulb,"372,223",93056
2017-11-12,14,Bulb,"372,223",52111
2017-11-19,10,Bulb,"372,223",37222
2017-11-26,10,Bulb,"372,223",37222
2017-12-03,6,Bulb,"372,223",22333
2017-12-10,8,Bulb,"372,223",29778
2017-12-17,8,Bulb,"372,223",29778
2017-12-24,11,Bulb,"372,223",40944
2017-12-31,6,Bulb,"372,223",22333
2018-01-07,8,Bulb,"372,223",29778
2018-01-14,7,Bulb,"372,223",26056
2018-01-21,12,Bulb,"372,223",44667
2018-01-28,6,Bulb,"372,223",22333
2018-02-04,5,Bulb,"372,223",18611
2018-02-11,8,Bulb,"372,223",29778
2018-02-18,8,Bulb,"372,223",29778
2018-02-25,10,Bulb,"372,223",37222
2018-03-04,5,Bulb,"372,223",18611
2018-03-11,5,Bulb,"372,223",18611
2018-03-18,4,Bulb,"372,223",14889
2018-03-25,9,Bulb,"372,223",33500
2018-04-01,19,Bulb,"372,223",70722
2018-04-08,15,Bulb,"372,223",55833
2018-04-15,20,Bulb,"372,223",74445
2018-04-22,10,Bulb,"372,223",37222
2018-04-29,10,Bulb,"372,223",37222
2018-05-06,17,Bulb,"372,223",63278
2018-05-13,14,Bulb,"372,223",52111
2018-05-20,22,Bulb,"372,223",81889
2018-05-27,19,Bulb,"372,223",70722
2018-06-03,14,Bulb,"372,223",52111
2018-06-10,12,Bulb,"372,223",44667
2018-06-17,10,Bulb,"372,223",37222
2018-06-24,11,Bulb,"372,223",40944
2018-07-01,12,Bulb,"372,223",44667
2018-07-08,17,Bulb,"372,223",63278
2018-07-15,10,Bulb,"372,223",37222
2018-07-22,16,Bulb,"372,223",59556
2018-07-29,19,Bulb,"372,223",70722
2018-08-05,19,Bulb,"372,223",70722
2018-08-12,19,Bulb,"372,223",70722
2018-08-19,19,Bulb,"372,223",70722
2018-08-26,29,Bulb,"372,223",107945
2018-09-02,11,Bulb,"372,223",40944
